id,Company,Title,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
1,Google,"Data Analyst, Product and Tools Operations, Google Technical Services","New York, NY, United States","Collect and analyze data to draw insight and identify strategic solutions.
Build consensus by facilitating broad collaboration with clear communication and documentation.
Work with cross-functional stakeholders to gather requirements, manage implementation, and drive delivery of projects.","Bachelor’s degree in Business, Economics, Statistics, Operations Research or related analytical field, or equivalent practical experience.
2 years of work experience in business analysis.
1 year of experience with statistical modeling, forecasting or machine learning. Experience with R, SAS or Python.
1 year of experience developing and manipulating large datasets.","Experience partnering or consulting cross-functionally with senior stakeholders.
Proficiency in a database query language (e.g. SQL).
Ability to manage multiple projects in an ambiguous environment.
Strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to non-experts."
2,Google,"Associate Account Strategist (Czech/Slovak), Global Customer Experience","Dublin, Ireland","Communicate with customers via phone and email.
Provide strategic advice and consultation to help our advertisers get the best experience from our advertising products.
Implement creative ways to improve customer relationships. Tailor and share online marketing strategy suggestions.
Work towards strategic goals, while prioritizing and delivering an outstanding customer experience to Google's advertisers.","Bachelor's degree or equivalent practical experience.
Ability to speak and write in English and Czech and/or Slovak fluently and idiomatically.","Experience in sales, customer service, account management, marketing or consulting.
Experience in managing and customizing experience to a specific customer base.
Experience with leading, motivating and working effectively within a team.
Demonstrated ability to multi-task and to manage multiple projects while working in a fast-paced environment.
Ability to work towards strategic goals.
Effective organizational skills, with the ability to work independently and proactively."
3,Google,"Solutions Architect, Healthcare and Life Sciences, Google Cloud","New York, NY, United States","Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities.","BA/BS degree in Computer Science, related Software Engineering field or equivalent practical experience.
Experience working in a cloud computing environment (infrastructure, storage, platforms and/or data).
Experience working in a healthcare and/or life science domain, including deploying solutions in healthcare and/or life sciences related IT infrastructure.
Experience in writing software in one or more languages such as Java, Python, Go, JavaScript, C++, or similar.","Master's degree in Computer Science, related Engineering field, or equivalent work experience.
5 years of experience working with a variety of technology systems, designing solutions or developing applications in healthcare and/or life science environments.
Experience working closely with Sales and Marketing teams in cloud computing or related technical fields.
Understanding of current trends of healthcare and/or life sciences infrastructure, (including databases, enterprise integration buses, protocols, APIs and formats), security, networking and cloud-based delivery models.
Ability to communicate complex technical concepts in an approachable way for broad audiences, empowering them with memorable and useful information."
4,Google,"Associate Account Strategist (Ukrainian), GMS Sales","Dublin, Ireland","Implement creative ways to improve our customer relationships, tailor and share online marketing strategy suggestions, and promote other Google products.
Communicate with customers proactively, via phone and email.
Provide strategic advice and help our advertisers get the best experience from their investment by working with them in a consultative role.
Deliver consistently against strategic goals while prioritizing and delivering an outstanding customer sales experience to Google's advertisers.","Bachelor's degree or equivalent practical experience.
Experience or internship experience in sales, customer support, account management, marketing or consulting.
Ability to speak and write in English and Ukrainian fluently and idiomatically.","Experience in leading, motivating and working well with others. Demonstrated bias to teamwork.
Demonstrated record in managing and customizing experience to a customer base.
Ability to multi-task and manage multiple projects at a time while paying attention to detail.
Interest in working toward strategic goals.
Proactive, independent worker who is highly organized and interested in the difference they can make through their individual contribution."
5,Google,"Solution Architect, Google Cloud Platform (Apigee)","Amsterdam, Netherlands","Produce required design specifications, provide technical leadership and architectural mentorship and help customers build quality technical solutions/implementations with on-premises, cloud and hybrid cloud-based Apigee solution.
Work closely with geographically distributed Apigee and Customer project teams to align the technical requirements and the solution design with the customer's business drivers and in order to demonstrate our value.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Travel up to 50% of the time.","BA/BS degree in a technical or engineering field or equivalent practical experience.
Programming experience in one or more of the following: Java, Python, JavaScript, NodeJS, C#, NET, Ruby.
Ability to speak and write in English and German or French fluently and idiomatically.","Experience with or deep understanding of private, public and hybrid cloud design considerations and limitations in the areas of virtualization and global infrastructure, distributed systems, load balancing and networking, and security.
Experience in architecting and/or implementing API based solutions with sound hands-on familiarity with related standards such as HTTP, REST, SOAP and OAuth.
Ability to communicate effectively and influence stakeholders in internal and external engineering teams, product development teams, sales operations teams as well as external Google partners and end consumers.
Excellent presentation, verbal and written communication skills."
6,Google,"Machine Learning Product Specialist, Google Cloud (EMEA)","Frankfurt, Germany","Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience working with technologies in the Machine Learning/Big Data ecosystem.
Ability to speak and write in English fluently and idiomatically.","Master's degree in Computer Science or a related technical technical field.
Experience writing code for Machine Learning purposes. Experience with Big Data and Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Ability to advise customers on how to collect data for a given problem, clean it, visualize it, extract features from it and choose the right type of learning algorithm.
Ability to explain and demystify relevant techniques to those who are new to Machine Learning, with the ability to advise customers on making tradeoffs.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud technology space."
7,Google,"Partner Sales Engineer, Google Cloud","München, Germany","Work with Partner Managers to identify and recruit partners in the market that can deliver innovative solutions to our customers, built on top of Google Cloud (Google Cloud Platform and G Suite).
Develop our partners’ technical teams with both sales and technical competencies, so that they can be successful in the market.
Keep partners up-to-date with product and technical knowledge and market differentiators.
Work with partner technical representatives in opportunities and projects, complementing their skill and guaranteeing high quality customer deliverables. Advise on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing “best practice” advice to customers and partners to optimize Google Cloud effectiveness.
Act as a technical advocate within Google for our partners in order to help provide feedback from the field, as well as to present on their behalf.","Bachelor's degree in Computer Science or a related technical field or equivalent practical experience.
Experience serving in the capacity of a technical sales engineer in a cloud computing environment, or equivalent experience in a customer and/or partner-facing role (including working as a member of a professional services, solutions architect or systems engineering team).
Ability to speak and write in English and a local language (German, Arabic, Italian, Polish, Romanian) fluently and idiomatically.
Ability to travel up to 40% of the time as required to visit partners across a defined geographic territory.","Experience in, and understanding of, data and information management, especially as it relates to big data trends and issues within businesses. Experience using and/or managing databases.
Experience working with Linux. Experience with software lifecycle and build tools as well as experience architecting and developing software for scalable, distributed systems.
Experience architecting and developing solutions for scalable, distributed systems.
Knowledge of enterprise networking and identity management systems. Knowledge of Big Data, PaaS, SaaS, IaaS, public cloud, and related industry and technical concepts, as well as working knowledge of web application development platforms and related technologies.
Ability to craft a compelling message and tailor it for a given audience. Ability to mix deep technical expertise with simple, everyday language to deliver a story that is memorable and useful.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the Cloud technology space."
8,Google,"Technical Solutions Engineer, Chrome and Android, Google Cloud","Zürich, Switzerland","Obtain and maintain an in-depth understanding of Google's product technology, architecture and implementation. Cultivate and transfer knowledge to Google’s support groups.
Guide or perform design and implementation of new support, productivity or investigation tools in order to increase efficiency for the technical support process.
Act as a consultant and knowledge base for Product Managers, Sales Engineers, Technical Account Managers, and Deployment Specialists, resolving technical deployment obstacles, improving the product's vision and making Google customers successful.
Work closely with multiple Google Product Management and Software Engineering teams on understanding ways to improve the product. Interact with Quality Assurance (QA) teams to drive exceptional testing quality.
Diagnose and resolve complex customer problems for the Google Chrome product area in an engineering support function, as part of a global 24x7 global team.","Bachelor's degree in Computer Science, or a related technical field, or equivalent practical experience.
Experience in technical support, professional services, engineering, sustaining engineering, or systems engineering.
Ability to undergo additional background check clearance to work with Government clients.","Hands-on experience implementing, troubleshooting, and supporting Internet-based applications, web servers, mail servers (e.g. Exchange, Lotus, sendmail, or Postfix), and Linux/Unix operating systems. Experience with Identity Management or Directory Services (e.g. LDAP, AD, etc).
Experience with managing hosted services/SaaS. Familiarity with programming/scripting (i.e. one or more of Java, C, C++, .NET, Python, shell, Perl, JavaScript). Experience with various DBMS, data mining and analysis.
Demonstrated network administration and troubleshooting skills, with an understanding of Linux/Unix system administration. Understanding of Web and Mail-related standards, such as HTTP, HTML, XML, cookie-based SSO, and SMTP.
Demonstrated resourcefulness and attention to detail, with the ability to keep pace with rapid changes in enterprise products.
Effective communication skills, both written and verbal, along with outstanding troubleshooting, follow-through and problem-solving skills."
9,Google,"Machine Learning Product Specialist, Google Cloud (EMEA)","Berlin, Germany","Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience working with technologies in the Machine Learning/Big Data ecosystem.
Ability to speak and write in English fluently and idiomatically.","Master's degree in Computer Science or a related technical technical field.
Experience writing code for Machine Learning purposes. Experience with Big Data and Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Ability to advise customers on how to collect data for a given problem, clean it, visualize it, extract features from it and choose the right type of learning algorithm.
Ability to explain and demystify relevant techniques to those who are new to Machine Learning, with the ability to advise customers on making tradeoffs.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud technology space."
10,Google,"Head of Partner Engineering, Google Cloud",Singapore,"Work with JAPAC Partner and Alliances Lead to develop the Go-to-Market strategy for the region. Build and lead a team of technical Partner Engineers across APAC and Japan.
Identify and recruit partners in the market that can deliver innovative solutions to our customers, built on top of Google Cloud.
Develop Partners’ technical teams advising on their technical business plan and readiness, so that they can be successful in the market. Keep them up to date with latest product and technical knowledge and be an internal technical advocate for them, to help provide feedback from the field.
Engage with technical leadership parterns in large strategic opportunities and projects, complementing their skill and guaranteeing high quality customer deliverables.
Travel up to 40% of the time as required, to visit partners across a defined geographic territory.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
10 years of experience in a technical role.
5 years of experience working within cloud and working with clients across JAPAC in a partner aligned role.","Master's degree in Computer Science or other relevant technical field.
Industry certification(s) from a cloud provider.
Experience in cloud computing with a broad set of skills (infrastructure, storage, networking, platforms, data and security), with knowledge of the cloud market, competitive dynamics and customer buying behavior.
Familiarity in one or more common web or mobile development language such as Java, Python, GO, PHP, Javascript, etc.
Demonstrated leadership in building and leading teams across multiple geographies and speaking at large events covering keynote topics on innovation and technology."
